А а,[aˑ],
a,[a],
ГЬ гь,[heˑ],
h,[h],
Ж ж,[ʒeˑ],
ž,[ʒ],
КЪ къ,[q’aˑ],
q’,[q’],
Н н,[en],
n, [n],
С с,[es],
s,[s],
Хӏ хӏ,[ʜaˑ],
ḥ,[ʜ~ħ],
Ч ч,[ʧʰeˑ],
č,[ʧʰ],
а́а,áa,[ˉaː],
джв,džw,[ʤʷ],
кв,kw, [kʷ],
къӀв,q‘’w,[qˤ’ʷ],
лӀв,tłw,[kʟ̝̊ʰʷ~kɬ̮ʿʷ~tɬ̮ʿʷ],
тт,tt,[tː],
ххьӀв,xx’w,[χˤʷː],
чч,čč,[ʧʿː],
АЬ аь,[æˑ],
ä,[æ],
ГЪ гъ,[ʁeˑ],
ğ,[ʁ],
З з,[zeˑ],
z,[z],
КЪӏ къӏ,[qˤ’aˑ],
q‘’,[qˤʼ],
О о,[oˑ],
o,[o],
Т т,[tʰeˑ],
t,[t],
ХЬ хь,[xaˑ],
ẋ,[x],
ЧӀ чӀ,[ʧ’eˑ],
č’,[ʧ’],
ааӀ,aa‘,[aˤː],
дз,dz,[ʣ],
ккв,kkw,[kʷː],
ккъӀв,qq‘’w,[qˤ’ʷː],
о́о,óo,[ˉoː],
тв,tw,[tʷ],
хъв,qw,[qʷ],
чв,čw,[ʧʷ],
АӀ аӀ,[aˤˑ],
a‘,[aˤ],
ГъӀ гъӀ,[ʁˤeˑ],
ğ‘,[ʁˤ],
И и,[iˑ],
i,[i],
КЬ кь,[kʟ̮̊’aˑ],
tł’, [k͡kʟ̮̊’~kɬ̮’~tɬ̮’],
ОЬ оь,[øˑ],
ö,[ø],
ТӀ тӀ,[t’eˑ],
t’,[t’],
ХьӀ хьӏ,[χˤaˑ],
x‘,[χˤ],
Ш ш,[ʃaˑ],
š,[ʃ],
гв,gw,[gʷ],
е́е,(j)ée,[ˉeː/ˉje],
ккӏ,kk’,[k’ː],
кь,lh,[ʟ̝~ɮ],
ооӀ,ō‘,[oˤː],
хх,xx,[χː],
хъӀв,q‘w,[qˤʷ],
ччӀ,čč’,[ʧ’̲ː],
Ы ы,[ǝˑ],
y/ë,[ǝ],
ГӀ гӀ,[ʕeˑ],
ˤ/ġ,[ʕ~ʢ~ʡ],
ИӀ иӀ,[iˤˑ],
i‘,[iˤ],
Л л,[el],
l,[l],
ОӀ оӀ,[oˤˑ],
o‘,[oˤ],
У у,[uˑ],
u,[u],
ХЬ хъ,[qʰaˑ],
q,[qʰ],
Щ щ,[ʃ͈ːaˑ],
šš,[ʃː],
гъв,ğw,[ʁʷ],
жв,žw,[ʒʷ],
кӏв,k’w,[k’ʷ],
кьв,tł’w,[kʟ̮̊’ʷ~kɬ̮’ʷ~tɬ̮’ʷ],
пп,pp,[pʿ̲ː],
хв,xw,[χʷ],
цц,cc,[ʦʿː],
чӀв,č’w,[ʧ’ʷ],
Б б,[beˑ],
b,[b],
Д д,[deˑ],
d,[d],
Й й,[jiˑ],
j,[j],
ЛЪ лъ,[eʟ̝̊],
ł,[ʟ̝̊~ɬ],
П п,[pʰeˑ],
p,[pʰ],
УЬ уь,[yˑ],
ü,[y],
ХЪӀ хъӀ,[qˤaˑ],
q‘,[qˤ],
Ъ ъ,[jer],
’,[ʔ],
гъӀв,ğ‘w,[ʁˤʷ],
зв,zw,[zʷ],
ккъ,qq’, [qʼ],
ллъ,łł,[ʟ̊ː̲~ɬː̲],
сс,ss,[sː],
ххв,xxw,[χʷː],
цв,cw,[ʦʷ],
шв,šw,[ʃʷ],
В в,[weˑ],
w,[w],
Е е,[jeˑ],
(j)e,[e],
К к,[kʰaˑ],
k, [kʰ],
ЛӀ лӀ,[kʟ̮̊ʿaˑ],
tł,[kɬ̮~tɬ̮],
ПӀ пӀ,[p’eˑ],
p’,[p’],
УӀ уӀ,[uˤˑ],
u‘,[uˤ],
Ц ц,[ʦʰeˑ],
c,[ʦʰ],
Э э,[eˑ],
e,[e],
дв,dw,[dʷ],
и́и,íi,[ˉiː],
къв,q’w, [q’ʷ],
лъв,łw,[ʟ̝̊ʷ~ɬʷ],
св,sw,[sʷ],
ххьӀ,xx’,[χˤː],
ццӀ,cc’,[ʦ’̲ː],
щв,ššw,[ʃʷ̲ː],
Г г,[geˑ],
g,[g],
ЕӀ еӀ,[eˤˑ],
(j)e‘,[eˤ/jeˤ],
Кӏ кӏ,[k’aˑ],
k’,[k’],
М м,[em],
m,[m],
Р р,[er],
r,[r],
Х х,[χaˑ],
x,[χ],
Цӏ цӏ,[ʦ’eˑ],
c’,[ʦ’],
ЭӀ эӀ,[eˤˑ],
e‘-,[eˤ],
дж,dž,[ʤ],
кк,kk, [kː],
ккъӀ,qq‘’,[qˤ’ː],
ллъв,łłw,[ʟ̝̊ʷ̲ː~ɬʷ̲ː],
ссв,ssw,[sʷː],
хьӀв,x’w,[χˤʷ],
цӀв,c’w,[ʦ’ʷ],
э́э,ē-,[ˉeː],

