ڊ,ட்,ṭ,[ʈ],
ض,த்,t,[t],
ك,க்க்,kk,[kː],
د,த்,t,[tː],
صٜ,ள்,ḷ,[ɭ],
ق,க்க்,kk,[kː],
ي,ய்,y,[j],
خ,க்க்,kk,[kː],
ص,ஸ்,s,[s],
ڣ,ப்,p,[p],
و,வ்,w,[ʋ],
ح,ஹ்,h,[h],
ش,ஷ், ஶ்,ṣ, ś,[ʂ/ʃ],
ف,ஃப்,f,[f/p],
ه,ஹ்,h,[h],
َو,ஒள,au,[aʊ̯],
چ,ச்ச்,cc,[tʃː],
س,ஸ்,s,[s],
غ,க்,k,[k],
ݧ,ஞ்,ñ,[ɲ],
َي,ஐ,ai,[aɪ̯],
ج,ஜ், ச்,j, c,[dʒ/tʃ],
ز,ஃஜ்,z,[z],
ࢳ,ங்,ṅ,[ŋ],
ڹ,ண்,ṇ,[ɳ],
ُ,உ,u,[u],
ُو,ஊ,ū,[uː],
ث,ஸ்,s,[s],
ڔ,ர்,r,[ɾ̪],
ع,’,[ʔ],
ن,ந்,ன்,n, ṉ,[n̪/n],
ٗ,ஒ,o,[o],
ٗو,ஓ,ō,[oː],
ت,த்த்,tt,[tː],
ر,ற்,ṟ,[r],
ظ,ஃஜ்,z,[z/s],
م,ம்,m,[m],
ِ,இ,i,[i],
ِي,ஈ,ī,[iː],
ب,ப்,p,[p],
ذ,ஃஜ்,z,[z/s],
ط,த்த்,tt,[tː],
ل,ல்,l,[l],
ࣣ,எ,e,[e],
ࣣي,ஏ,ē,[eː],
ا,’/-,[ʔ],
ڍ,ட்ட்,ṭṭ,[ʈː],
ۻ,ழ்,ḻ,[ɻ],
ࢴ,க்,k,[k],
َ,அ,a,[a],
آ, َا,ஆ,ā,[aː],

