A a,[ɜ],
Ch ch,[tʃʰ],
Ę ę,[ẽ],
Ii ii,[i],
N n,[n],
T’ t’,[tʼ],
U u,[ʊ],
Wea wea,[wæ],
Zh zh,[ʒ],
Aa aa,[a],
Ch’ ch’,[tʃʼ],
Ea ea,[æ],
J j,[tʃ],
O o,[o],
Tl tl,[tɬʰ],
Uu uu,[u],
Węą węą,[wæ͂],
ʔ,[ʔ],
Ą ą,[ɜ͂],
D d,[t],
Ęą ęą,[æ͂],
K k,[kʰ],
Ǫ ǫ,[õ],
Tl’ tl’,[tɬʼ],
W w,[w],
Wi wi,[wɪ],
Ąą ąą,[ã],
Dl dl,[tɬ],
G g,[k],
K’ k’,[kʼ],
S s,[s],
Ts ts,[tsʰ],
Wą wą,[wɜ͂],
Wii wii,[wi],
Ae ae,[ae],
Dz dz,[ts],
Gh gh,[ɣ],
L l,[l],
S̲ s̲,[s̪],
T̲s̲  t̲s̲,[ts̪ʰ],
Waa waa,[wa],
Y y,[j],
Ai ai,[ai],
D̲z̲ d̲z̲,[ts̪],
H h,[h/x],
Ł ł,[ɬ],
Sh sh,[ʃ],
Ts’ ts’,[tsʼ],
Wąą wąą,[wã],
Z z,[z],
B b,[p],
E e,[e],
I i,[ɪ],
M m,[m],
T t,[tʰ],
T̲s̲’ t̲s̲’,[ts̪ʼ],
We we,[we],
Z̲ z̲,[z̪],

