А а,[aˑ],
a,[a~ɐ],
З з,[zeˑ],
z,[z],
М м,[em],
m,[m],
Ф ф,[ef],
f,[f],
ШӀ шӀ,[ʃ’aˑ],
š’,[ʃ’],
Б б,[beˑ],
b,[b],
И и,[iˑ],
i,[i],
Н н,[en],
n,[n],
Х х,[χaˑ],
x,[χ],
Щ щ,[ʃːaˑ],
šš,[ʃː],
В в,[veˑ],
v,[v],
Й й,[jiˑ],
j,[j],
О о,[oˑ],
o,[o],
ХЪ хъ,[qʿaˑ],
q,[qʿ],
Ъ ъ,[jer],
’,[ʔ],
Г г,[geˑ],
g,[g],
К к,[kʰaˑ],
k,[kʰ],
П п,[pʿeˑ],
p,[pʿ],
ХЬ хь,[xaˑ],
ẋ,[x],
Э э,[eˑ],
e-,[e],
ГЪ гъ,[ʁaˑ],
ğ,[ʁ],
КЪ къ,[q͈’ːaˑ],
q’,[q’~qχ’],
Р р,[er],
r,[r],
ХӀ хӀ,[ħaˑ],
ḥ,[ħ],
Ю ю,[juˑ],
ju,[ju],
ГЬ гь,[heˑ],
h,[h],
КЬ кь,[kɬ̮’ːaˑ],
tł’,[kɬ̮’ː~tɬ̮’ː],
С с,[es],
s,[s],
Ц ц,[ʦʿeˑ],
c,[ʦʿ],
Я я,[jaˑ],
ja,[ja],
Д д,[deˑ],
d,[d],
КӀ кӀ,[k’aˑ],
k’,[k’],
СӀ сӀ,[es’],
s’,[s’],
ЦӀ цӀ,[ʦ’eˑ],
c’,[ʦ’],
дж,dž,[ʤ],
Л л,[el],
l,[l],
Т т,[tʿeˑ],
t,[tʿ],
Ч ч,[ʧʿeˑ],
č,[ʧʿ],
Е е,[jeˑ],
je,[e/je],
ЛЪ лъ,[eɬ],
ł,[ɬ],
ТӀ тӀ,[t’eˑ],
t’,[t’],
ЧӀ чӀ,[ʧ’eˑ],
č’,[ʧ’],
Ж ж,[ʒeˑ],
ž,[ʒ],
ЛӀ лӀ,[kɬ̮ʿːaˑ],
tł,[kɬ̮ʿː~tɬ̮ʿː],
У у,[uˑ],
u,[u],
Ш ш,[ʃaˑ],
š,[ʃ],

