ر,r,[r],
ط,th,[tʼ],
ﻙ,k,[k],
ذ,z,[z/dz],
ض,z,[z],
ڨ, q̇,[qʼ],
د,d,[d],
ص,s,[s],
ﻕ,q,[q],
ي,y,[j],
وٓ,ö,[ɥø/yø],
یا,yä,[jæ],
خ,x,[x],
ش,ş,[ʃ],
ڮ,kh,[kʼ],
لا,la,[lə],
ووٓ\وٓ,[o/ɔː/
wo/uo],
 یا، یآ,ya,[ja],
ح,ẋ,[ʜ],
س,s,[s],
ڤ,q,[q],
ﻩ,h,[h],
ی,y,[j],
یو,jü,[jy],
ج,ƶ,[ʒ/dʒ],
ڃ,čh,[tʃʼ],
ڢ,ph,[p’],
و,w,[v],
ی,i,[ɪ],
یو,yu,[ju],
ث,s,[s],
چ,č,[tʃ],
ﻑ,p/f,[p/f],
ﻥ,n,[n],
یوٓ,yo,[jo],
اە,e,[e],
ت,t,[t],
ڗ,ch,[ts’],
ﻍ,ġ,[ɣ],
ﻡ,m,[m],
ە,e,[e/ɛː/
je/ie],
ئ,’,[ʔ],
ب,b,[b],
ڔٜ,c,[ts],
ع,j,[ʡ/ˤ],
ﻝ,l,[l],
ا,ä,[æ/æː],
و,ü,[y],
ا,a,[ə/ɑː],
ز,z,[z/dz],
ظ,گ,g,[ɡ],
ا\آ,a,[ə/ɑː],
و,u,[uʊ],

