A a,a,[a~ə],
E e,e,[ɛ~e],
Ị ị,ị,[i],
Mb mb,mba,[ᵐb],
Ngb ngb,ngba,[ᵑᵐɡb],
Ṛ ṛ,ṛa,[ɾ],
W w,wa,[w],
B b,ba,[b],
F f,fa,[f],
Ɨ ɨ,ɨ,[ɨ],
Mv mv,mva,[ᶬv],
Ngbr ngbr,ngbra,[ᵑᵐgbr],
S s,sa,[s],
Y y,ya,[j],
’B ’b,’ba,[ɓ],
G g,ga,[g],
K k,ka,[k],
N n,na,[n],
Ny ny,nya,[ɲ],
T t,ta,[t],
’Y ’y,’ya,[ʄ],
C c,ca,[c],
Gb gb,gba,[gb],
Kp kp,kpa,[kp],
Nd nd,nda,[ⁿd],
Nz nz,nza,[ⁿz],
Tr tr,tra,[tr],
Z z,za,[z],
D d,da,[d],
Gbr gbr,gbra,[gbr],
Kpr kpr,kpra,[kpr],
Ndr ndr,ndra,[ⁿdr],
O o,o,[ɔ~ɵ],
U u,u,[ʊ],
’,a’,[ʔ],
Dr dr,dra,[dr],
H h,ha,[h],
L l,la,[l],
Ṇg ṇg,ṇga,[ŋ],
P p,pa,[p],
Ụ ụ,ụ,[u],
’D ’d,’da,[ɗ],
I i,i,[ɪ],
M m,ma,[m],
Ng ng,nga,[ᵑɡ],
R r,ra,[r],
V v,va,[v],

