hànyŭ pīnyīn,zhùyīn fúhào,Wade-Giles,Gwoyeu Romatzyh,Palladius ,hànyŭ pīnyīn,zhùyīn fúhào,Wade-Giles,Gwoyeu Romatzyh,Palladius ,b,ㄅ,p,b,b,б,[p],
j,ㄐ,ch(i),j,j(i),цз,[tɕ],
p,ㄆ,p’,p,p,п,[pʰ],
q,ㄑ,ch’(i),ch,ch(i),ц,[tɕʰ],
m,ㄇ,m,m,m,м,[m],
x,ㄒ,hs,sy,sh(i),с,[ɕ],
f,ㄈ,f,f,f,ф,[f],
zh,ㄓ,ch,j,j,чж,[tʂ],
d,ㄉ,t,d,d,д,[t],
ch,ㄔ,ch’,ch,ch,ч,[tʂʰ],
t,ㄊ,t’,t,t,т,[tʰ],
sh,ㄕ,sh,sh,sh,ш,[ʂ],
n,ㄋ,n,n,n,н,[n],
r,ㄖ,j,r,r,ж,[ɻ/ʐ],
l,ㄌ,l,l,l,л,[l],
z,ㄗ,tz/ts,dz,tz,цз, [ts],
g,ㄍ,k,g,g,г,[k],
c,ㄘ,tz’/ts’,ts,ts,ц,[tsʰ],
k,ㄎ,k’,k,k,к,[kʰ],
s,ㄙ,sz/ss/s,s,s,с,[s],
h,ㄏ,h,h,h,х,[x],

