क,k,[k],
ज,j,[dʒ],
ट़,ċ,[ʈʂ],
ल,l,[l],
अ,a,[a],
उ,u,[u],
ख,kh,[kʰ],
च़,c,[ts],
ठ़,ċh,[ʈʂʰ],
स,s,[s],
आ,ā,[aː],
ऊ,ū,[uː],
ख़,ǩ,[x],
छ़,ch,[tsʰ],
ण,ṇ,[ɳ],
स़,z,[z],
अ',ǝ,[ə],
ए',e,[e],
ग,g,[g],
ज़,j,[dz],
र,r,[r],
प,p,[p],
आ',ǝ̄,[əː],
ए,ē,[eː],
ग़,ǧ,[ɣ],
य,y,[j],
ष,ṣ,[ʂ],
फ,ph,[pʰ],
अॅ,ɔ,[ɔ],
ऍ',ɛ,[ɛ],
ङ,ŋ,[ŋ],
श,š,[ʃ],
ष़,ż,[ʐ],
ब,b,[b],
अॅ',ʌ,[ʌ],
ऍ,ɛ̄,[ɛː],
ह,h,[h],
श़,ž,[ʒ],
त,t,[t],
म,m,[m],
ऑ,ʌ̄,[ʌː],
ओ',o,[o],
ह़,x,[ɦ],
ट,ṭ,[ʈ],
थ,th,[tʰ],
व,w,[ʋ~w],
इ,i,[i],
ओ,ō,[oː],
च,č,[tʃ],
ठ,ṭh,[ʈʰ],
द,d,[d],
ड़,ṛ,[ɽ],
ई,ī,[iː],
छ,čh,[tʃʰ],
ड,ḍ,[ɖ],
न,n,[n],
ँ,˜,[˜],

