A,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 1]"
K,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
S,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 1]"
lh,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sh,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
B,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]"
L,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]"
mb,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0]"
C,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 0]"
M,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
W,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0]"
é,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]"
nd,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
u,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]"
D,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1]"
N,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]"
Y,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
è,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
ngg,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
’,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
E,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
Ng,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
ë,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
G,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 1]"
ô,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]"
H,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]"
O,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1]"
I,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
P,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
ph,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1]"
R,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
rh,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
