A,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 1]"
Ö,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1]"
Ä,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
J,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 0]"
R,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
B,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
L,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]"
’R,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]"
M,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
T,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]"
E,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]"
N,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]"
U,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]"
Ë,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
Ng,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
G,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
Ngw,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
W,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0]"
Gw,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 0]"
Y,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
I,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
O,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]"
Z,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 1]"
