A,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 1]"
M,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
ã,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 1]"
N,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]"
D,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1]"
O,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1]"
U,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]"
ĩ,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 0]"
W,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0]"
I,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
Y,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
õ,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1]"
J,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]"
S,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 1]"
’,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]"
ũ,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]"
Sh,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
